C01 TITLE: 30-minute meteorological data 
C02 FILE NAME: cmn644n00.isac.xx.xx.met.nl.ev2012.dat 
C03 DATA FORMAT: Version 1.1
C04 TOTAL LINES: 17600
C05 HEADER LINES: 32
C06 DATA VERSION: 201312
C07 STATION NAME: Monte Cimone
C08 STATION CATEGORY: Global
C09
C10 COUNTRY/TERRITORY: Italy
C11 CONTRIBUTOR: ISAC
C12 LATITUDE: 44.18
C13 LONGITUDE: 10.7
C14 ALTITUDE: 2165
C15
C16
C17
C18 PARAMETER: WD WS RH AP AT UVB RAD
C19 COVERING PERIOD: 2012-01-01 2012-12-31
C20 TIME INTERVAL: 30 minutes
C21 MEASUREMENT UNIT: deg m/s % hPa Celsius W/m2 W/m2
C22
C23
C24 TIME ZONE: Local time UTC+1
C25
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:  
C31
DATE  TIME    WD   WS    RH     AP    AT       UVB       RAD
2012-01-01 00:15 300.0  14.8  71.6  789.3   1.0     0.000    -0.079
2012-01-01 00:45 301.0  17.3  69.4  789.4   1.3     0.000    -0.063
2012-01-01 01:15 302.0  16.9  68.3  789.5   1.6     0.000     0.059
2012-01-01 01:45 306.0  17.5  67.6  789.6   1.8     0.000     0.131
2012-01-01 02:15 311.0  17.9  62.5  789.8   2.3     0.000     0.124
2012-01-01 02:45 306.0  17.2  59.1  789.9   2.6     0.000     0.096
2012-01-01 03:15 307.0  17.2  56.3  789.7   2.8     0.000     0.141
2012-01-01 03:45 304.0  16.4  57.2  789.7   2.7     0.000     0.146
2012-01-01 04:15 304.0  15.9  60.3  789.7   2.4     0.000     0.205
2012-01-01 04:45 305.0  16.5  60.5  789.7   2.5     0.000     0.246
2012-01-01 05:15 304.0  15.8  61.1  789.9   2.5     0.000     0.238
2012-01-01 05:45 319.0  14.9  61.6  790.1   2.5     0.000     0.197
2012-01-01 06:15 332.0  16.6  63.3  790.2   2.7     0.000     0.204
2012-01-01 06:45 341.0  13.6  65.6  790.2   2.5     0.000     0.227
2012-01-01 07:15 350.0   9.7  66.0  790.4   2.4     0.000     0.177
2012-01-01 07:45 350.0   9.6  66.4  790.6   2.3     0.004     1.533
2012-01-01 08:15 350.0   9.1  67.2  791.0   2.2     0.021    15.099
2012-01-01 08:45 349.0   6.8  67.8  791.5   2.1     0.062    40.564
2012-01-01 09:15 347.0   6.1  66.1  791.8   2.8     0.127   174.464
2012-01-01 09:45 343.0   5.1  65.3  792.0   3.3     0.204   237.695
2012-01-01 10:15 343.0   5.2  64.2  792.3   3.7     0.288   295.042
2012-01-01 10:45 339.0   4.1  62.9  792.5   4.1     0.369   342.485
2012-01-01 11:15 344.0   5.2  62.2  792.5   4.4     0.436   377.541
2012-01-01 11:45 336.0   8.4  63.7  792.5   4.2     0.481   399.466
2012-01-01 12:15 325.0   8.0  65.4  792.7   3.6     0.500   406.863
2012-01-01 12:45 329.0   7.5  64.2  792.7   3.7     0.491   401.472
2012-01-01 13:15 334.0   7.5  61.7  792.6   4.1     0.456   383.681
