DATETIME,wind_speed,temperature,relative_humidity,pressure
2015-01-02 13:00:00,9.6,1.9,69.5,800.5
2015-01-02 14:00:00,12.8,2.3,59.0,800.3
2015-01-02 15:00:00,13.7,2.7,53.9,800.2
2015-01-02 16:00:00,9.7,2.5,55.2,800.2
2015-01-02 17:00:00,10.2,2.8,51.2,800.3
2015-01-02 18:00:00,10.9,3.4,47.7,800.3
2015-01-02 19:00:00,9.3,3.7,45.3,800.0
2015-01-02 20:00:00,11.6,4.1,40.8,799.9
2015-01-02 21:00:00,13.1,4.7,35.2,799.8
2015-01-02 22:00:00,14.0,4.9,38.4,799.6
2015-01-02 23:00:00,14.2,4.2,51.9,799.3
2015-01-03 00:00:00,13.8,3.8,60.7,798.9
2015-01-03 01:00:00,9.3,4.2,61.9,798.9
2015-01-03 02:00:00,9.9,4.4,51.8,798.6
2015-01-03 03:00:00,7.7,4.3,35.9,798.2
2015-01-03 04:00:00,5.3,4.1,29.8,797.9
2015-01-03 05:00:00,7.5,4.0,28.3,797.8
2015-01-03 06:00:00,9.1,3.8,32.3,798.2
2015-01-03 07:00:00,11.5,4.3,46.2,798.5
2015-01-03 08:00:00,7.1,4.8,44.6,798.4
2015-01-03 09:00:00,7.1,5.2,43.9,798.3
2015-01-03 10:00:00,6.4,5.6,43.4,797.9
2015-01-03 11:00:00,5.8,5.8,46.3,797.3
2015-01-03 12:00:00,4.5,5.7,47.0,796.0
2015-01-03 13:00:00,4.6,4.7,49.6,795.3
2015-01-03 14:00:00,8.4,4.6,52.4,794.3
2015-01-03 15:00:00,10.7,3.9,48.3,793.9
2015-01-03 16:00:00,12.7,2.5,49.3,793.1
2015-01-03 17:00:00,11.6,2.8,50.2,792.7
2015-01-03 18:00:00,13.2,2.6,55.0,792.7
2015-01-03 19:00:00,11.4,2.7,58.7,792.1
2015-01-03 20:00:00,12.0,2.8,61.5,792.0
2015-01-03 21:00:00,11.8,2.2,65.5,791.4
2015-01-03 22:00:00,10.8,2.1,69.0,791.2
2015-01-03 23:00:00,11.6,1.5,77.3,791.2
2015-01-04 00:00:00,14.3,1.8,72.4,790.8
2015-01-04 01:00:00,18.9,3.4,55.3,790.6
2015-01-04 02:00:00,20.8,3.3,52.4,790.6
2015-01-04 03:00:00,18.7,2.7,55.0,790.7
2015-01-04 04:00:00,18.3,1.9,57.9,790.6
2015-01-04 05:00:00,12.8,1.3,57.9,790.7
2015-01-04 06:00:00,9.9,0.7,60.5,791.2
2015-01-04 07:00:00,9.3,0.8,59.7,791.6
2015-01-04 08:00:00,8.3,1.1,61.8,792.1
2015-01-04 09:00:00,5.3,1.6,61.5,793.1
2015-01-04 10:00:00,1.8,3.2,57.3,793.0
2015-01-04 11:00:00,1.9,3.7,57.9,792.5
2015-01-04 12:00:00,2.5,3.2,52.4,792.0
2015-01-04 13:00:00,3.4,2.1,45.8,792.0
2015-01-04 14:00:00,4.1,0.9,43.5,792.7
2015-01-04 15:00:00,3.6,-0.6,50.6,793.1
2015-01-04 16:00:00,4.1,-2.5,45.9,793.2
2015-01-04 17:00:00,4.2,-3.5,44.6,793.6
2015-01-04 18:00:00,4.6,-4.4,42.7,794.0
2015-01-04 19:00:00,3.7,-5.0,42.4,794.7
2015-01-04 20:00:00,3.1,-5.4,46.6,795.5
2015-01-04 21:00:00,2.8,-5.9,50.2,796.0
2015-01-04 22:00:00,2.0,-6.2,51.9,796.5
2015-01-04 23:00:00,2.3,-6.3,51.5,796.7
2015-01-05 00:00:00,2.9,-6.1,46.8,796.5
2015-01-05 01:00:00,3.0,-6.3,48.3,796.7
2015-01-05 02:00:00,3.0,-6.5,45.2,797.0
2015-01-05 03:00:00,2.7,-6.4,42.1,797.3
2015-01-05 04:00:00,2.5,-6.3,39.9,797.4
2015-01-05 05:00:00,3.1,-5.8,36.9,797.3
2015-01-05 06:00:00,6.7,-5.7,38.6,797.3
2015-01-05 07:00:00,6.1,-5.2,38.2,797.8
2015-01-05 08:00:00,2.4,-4.1,35.9,798.3
2015-01-05 09:00:00,3.7,-2.1,29.3,798.3
2015-01-05 10:00:00,5.0,-1.9,26.5,797.7
2015-01-05 11:00:00,4.6,-1.4,28.8,797.2
2015-01-05 12:00:00,6.8,-1.7,31.3,796.6
2015-01-05 13:00:00,7.9,-1.7,31.6,796.6
2015-01-05 14:00:00,12.9,-1.8,31.6,796.4
2015-01-05 15:00:00,16.4,-2.1,30.9,796.1
2015-01-05 16:00:00,12.0,-2.5,29.3,796.3
2015-01-05 17:00:00,8.8,-3.2,32.5,796.7
2015-01-05 18:00:00,9.2,-2.5,35.7,796.8
2015-01-05 19:00:00,7.6,-1.6,33.4,796.7
2015-01-05 20:00:00,5.2,-0.8,32.8,796.2
2015-01-05 21:00:00,2.3,0.1,31.5,795.4
2015-01-05 22:00:00,4.0,0.2,31.2,794.8
2015-01-05 23:00:00,5.4,0.2,30.8,794.5
2015-01-06 00:00:00,5.4,-1.0,38.5,794.2
2015-01-06 01:00:00,6.4,-0.4,33.8,794.0
2015-01-06 02:00:00,6.2,-0.4,34.0,793.6
2015-01-06 03:00:00,7.7,-1.4,38.0,793.1
2015-01-06 04:00:00,8.8,-1.6,37.4,793.0
2015-01-06 05:00:00,8.8,-2.0,40.0,792.9
2015-01-06 06:00:00,6.7,-1.9,39.7,793.1
2015-01-06 07:00:00,3.4,-1.2,35.8,793.5
2015-01-06 08:00:00,1.8,0.6,30.8,793.7
2015-01-06 09:00:00,1.5,2.4,27.1,793.7
2015-01-06 10:00:00,1.1,3.1,25.0,793.4
2015-01-06 11:00:00,1.2,3.9,24.5,793.0
2015-01-06 12:00:00,1.9,4.1,25.3,792.6
2015-01-06 13:00:00,2.8,2.5,30.5,792.8
2015-01-06 14:00:00,2.3,2.5,29.5,793.1
2015-01-06 15:00:00,1.9,3.0,25.1,793.2
2015-01-06 16:00:00,2.2,1.9,24.8,793.6
